collectId,collectName,time,collectYear,collectType,collectLevel,collectTexture,detailSize,num,source
13312,现代齐白石灯鼠立轴,中华人民共和国,中华人民共和国,书法、绘画,二级,纸,纵99.6 横34.5,1,征集购买
14848,现代反黄彫番莲五角立筋盖盒,中华人民共和国,中华人民共和国,竹木雕,二级,木,高6.2 口径13 底径15.7,1,征集购买
15616,现代王雪涛花三鸡图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵127.7横69.3,1,征集购买
16128,现代钱君匋行书七绝诗轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵133横32,1,征集购买
19968,现代许滌新书毛泽东诗轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵13蛾，横57。,1,接受捐赠
20480,现代陆俨少水墨山水轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵68.3横45.9,1,征集购买
22272,现代冕少翔双寿图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵113.9  横49.2,1,接受捐赠
23296,现代陈半丁行书毛泽东“冬雪”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵104.5横34.5,1,征集购买
7681,现代罗惇曧行书联,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵132.5 横32.2,2,旧藏
14849,现代立筋方盖盒,中华人民共和国,中华人民共和国,竹木雕,二级,木,高8.9 口径6.6 腹径7.8 底径6.5,1,征集购买
16129,现代溥雪斋行书节月赋轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵132横33,1,征集购买
19969,现代曹靖华书鲁迅诗轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵49.5，横31。,1,接受捐赠
20481,现代陆俨少设色江寺图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵82.8横59.8,1,征集购买
22273,现代杨德衡设色鸣雪图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵66.5  横67.2,1,接受捐赠
23297,现代陈半丁行书毛泽东“为女民兵题照”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵104.5横34.5,1,征集购买
14850,现代反黄刻关云长千里走单骑小围屏,中华人民共和国,中华人民共和国,竹木雕,二级,木,高49 底座68x6.5,1,征集购买
16130,现代顿立夫篆书杜甫诗句轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵133横32,1,征集购买
19970,现代姚雪垠行书七言诗二首立轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵54横29.5,1,接受捐赠
20482,现代陆俨少设色山水轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵90.7横48.4,1,征集购买
22274,现代季观之镜泊飞瀑横幅,中华人民共和国,中华人民共和国,书法、绘画,三级,丝,纵44  横89.5,1,接受捐赠
23298,现代陈半丁行书毛泽东“六盘山”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵104.5横34.5,1,征集购买
14851,现代反黄刻山水提箱,中华人民共和国,中华人民共和国,竹木雕,二级,木,高19 长31.6 宽24.2,1,征集购买
16131,现代潘伯鹰行书叙兰亭刻本源流轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵100横33,1,征集购买
19971,现代臧克家行书毛主席诗词《卜算子咏梅》立轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵69横28.7,1,接受捐赠
20483,现代朱屺瞻兰花图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵90横48.5,1,征集购买
22275,现代钟质夫等合作长松集翠图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵135  横67.5,1,接受捐赠
23299,现代丰子恺行书毛泽东“卜算子.咏梅”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵69横33.8,1,征集购买
14852,现代反黄刻白猿八稜果盘,中华人民共和国,中华人民共和国,竹木雕,二级,木,高2 口径24.2 底径23.1,1,征集购买
19972,现代臧克家行书七言诗立轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵69横28,1,接受捐赠
20484,现代朱屺瞻设色藤萝图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵86横48.5,1,征集购买
23300,现代丰子恺行书毛泽东“六盘山”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵164横47.8,1,征集购买
14853,现代反黄浅刻毛主席像,中华人民共和国,中华人民共和国,竹木雕,二级,木,高27.7 宽29.4 厚0.8,1,征集购买
19973,现代周士观草书毛主席诗词《水调歌头重上井岗山》、《念奴娇鸟儿问答》二首立轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵130横65,1,接受捐赠
23301,现代费新我行书毛泽东“昆仑”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵104.5横41.5,1,征集购买
14854,现代反黄刻山水花鸟六稜瓶,中华人民共和国,中华人民共和国,竹木雕,二级,木,（1）高20.2 口径7.3 腹径9.2 底径6.9 （2）高20 口径7.4 腹径9.2 底径7,2,征集购买
19974,现代周士观草书毛主席诗词《水调歌头重上井岗山》一首立轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵89横48.2,1,接受捐赠
20486,现代程十发设色人物轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵103.5横69.7,1,征集购买
23302,现代王个簃篆书毛泽东“黄鹤楼”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵136横68,1,征集购买
14855,民国颜伯龙美人蕉猫石图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵98.7 横33.2,1,征集购买
19975,现代周士观草书临怀素《送酒帖》立轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵131横65.5,1,接受捐赠
20487,现代宋文治设色山水,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,nan,5,征集购买
23303,现代谢稚柳行书毛泽东“昆仑”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵166横47.8,1,征集购买
19976,现代周士观草书临怀素自叙一节立轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵139横69.5,1,接受捐赠
20488,现代白雪石设色山水,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,nan,6,征集购买
23304,现代叶恭绰行书毛泽东“沁园春雪”轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵171.5横93.5,1,征集购买
25864,现代丰子恺春日游图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵68横33.5,1,征集购买
14857,现代杨之光首都儿童看电视图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵59.3 横49.5,1,征集购买
19977,现代周士观草书临书谱一节横幅,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵69横137,1,接受捐赠
20489,现代宋吟可设色人物,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,nan,3,征集购买
23305,现代叶恭绰行书毛泽东“蝶恋花”横幅,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵48横68,1,征集购买
25865,现代萧俊贤陈年合作梅花图轴,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵104横48,1,征集购买
14858,现代李苦禅葡萄公鸡立幅,中华人民共和国,中华人民共和国,书法、绘画,二级,纸,高131 宽64,1,征集购买
15114,现代李苦禅花鸟册,中华人民共和国,中华人民共和国,书法、绘画,三级,纸,纵42 横47.7,12,征集购买
