collectID,collectName,collectYear,collectDetailYear,collectType,collectLevel,collectTexture,detailSize,unearthedLocation,collectSynopsis,threeDimensionalInfo,collectImages,museum
1,辽白釉剔划牡丹纹盘口长颈瓶,"中国历史学年代,辽(907~1125)",辽,瓷器,一级,瓷,高45.6 腹径17.4 口径11.4 底径10.4,辽宁法库叶茂台辽墓,喇叭形口，直沿，细长颈，溜肩，鼓腹，束胫，底部外展，圈足内有二层台。灰白胎，施白釉。肩腹部剔划牡丹花纹。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/27857.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790713658120525081783957931895&type=S&s=2059'],辽宁博物馆
2,辽绿釉贴团龙菊花纹双孔鸡冠壶,"中国历史学年代,辽(907~1125)",辽,陶器,一级,陶,高29.5厘米；腹径18.8x12.2厘米；口径5.9厘米；底径9.8x8.9厘米,nan,"高29.8、腹径18.8×12.2厘米
器身扁体垂腹，底部内凹。管状短流，双鼻孔梯，鼻孔外侧塑贴坐猴。红陶胎，施绿釉不及底。器表双面分别模印贴饰龙纹和菊花纹，并配以划花卷草纹。",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/2275.html,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790702421320525081102552298938&type=S&s=2088', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790702936920525081102552291549&type=S&s=2336', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790703395520525081102552296794&type=S&s=2093']",辽宁博物馆
3,白瓷横梁鸡冠壶,"中国历史学年代,辽(907~1125)",nan,瓷器,一级,瓷,高17   腹径15.3×15.1   口径2.9   底径7.4,nan,器身上扁下圆，平底。半环状横梁，管状流。胎体细白，器表施白釉。颈腹部有仿皮条及缝合装饰。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/9924.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791044179920525081111107341982&type=S&s=2232'],辽宁博物馆
4,辽黄釉划弦纹凤首瓶,"中国历史学年代,辽(907~1125)",辽,陶器,一级,陶,高36.8 口径9.8 腹径13 底径7.6,nan,通体可视为抽象的立凤形。荷叶形喇叭口，口颈之间塑贴凤首装饰。圆肩收腹，圈足外撇。灰白胎，胎质较粗，胎面敷化妆土，外罩黄釉。口下部、颈部、肩部及胫部分饰粗细不等的凹弦纹。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/2143.html,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790695025820525081102552296242&type=S&s=2214', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790695843520525081207235343251&type=S&s=2044']",辽宁博物馆
5,辽黄釉葫芦形执壶,"中国历史学年代,辽(907~1125)",辽,陶器,一级,陶,高25.6 腹径15.3 口径3.1 底径7.8,nan,器整体呈葫芦形，“9”字形把连接上下壶体，曲流由下壶体肩部斜出，圈足。红砂胎，上敷化妆土，施黄釉至下腹。壶把表面印菱形花纹装饰。壶体有弦纹数道。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/34668.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790698805220525081102552292219&type=S&s=2197'],辽宁博物馆
6,辽绿釉凤首瓶,"中国历史学年代,辽(907~1125)",辽,陶器,二级,陶,1、高41.3 腹径16.5 底径9,nan,通体可视为抽象的立凤形。荷叶形喇叭口，细长颈，口颈之间塑贴凤首装饰。凤首双目圆睁，口含宝珠。丰肩，收腹，束胫，平底。红砂胎，上敷化妆土，通体施绿釉。细长颈中间、肩及胫部分饰数道凹弦纹。肩部与颈交接处贴塑羽状纹饰带。造型挺拔秀丽。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/27458.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790879977920525081129328557041&type=S&s=2300'],辽宁博物馆
7,辽三彩釉印花八卦纹执壶,"中国历史学年代,辽(907~1125)",辽,陶器,一级,陶,壶高21   腹径18.6×13.2   口径3.7   底径10.8×8.9,nan,壶体扁圆，圆口，无颈，平底。一侧为扁状壶柄，另一侧龙首口流，口流之间置一环形扁系。灰白胎，质地坚硬，挂白粉衣，施黄、绿、白三彩釉。壶两面印花纹饰相同，中心为莲花纹，周围辅以卷云流水。花心饰太极图。腹下饰仰莲瓣一周。流下贴一皮钉装饰，壶柄表面饰印花锦纹。纹饰繁密，层次分明。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/9920.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790853765720525081160255685973&type=S&s=2204'],辽宁博物馆
8,清雍正铜胎画珐琅黄地牡丹纹双连盖盒,"中国历史学年代,清(1616~1911)",清,铜器,一级,"铜,其他无机质",高3.9，口径8.3*4.45，底径8.8*4.95,nan,扁圆形双链体，造型秀巧别致。盒内璧饰松绿彩料，外壁及盖面于明黄色地之上绘粉、蓝、绿八朵盛开的牡丹花。所绘牡丹，叶片上下翻转，层层交叠，花朵露出黄色的花蕊，笔法十分细腻。盖沿外饰松石绿地缠枝菊花纹。盒底施白色珐琅彩料，红彩楷书“雍正年制”四字楷书款。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/4715.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790707479020525081372525261528&type=S&s=2287'],辽宁博物馆
9,元青花松竹梅纹八棱罐,"中国历史学年代,元(1206~1368)",元,瓷器,一级,瓷,高39.7厘米；口径15.3厘米,nan,通体呈八棱形。直口，束颈，溜肩，鼓腹，平底，内挖圈足。颈部凸棱似箍，肩部塑贴兽首。青白釉，青花发色淡雅。口部饰锦纹，胫部为变体莲瓣纹。腹部以龙牙蕙草纹为地，在四合如意形开窗内绘莲池小景和松竹梅，八幅图案分成两组排列。颈部上下开窗内的多种折枝花卉与梅花组合成四季花卉。从开窗中观赏纹饰，别有洞天，意境深远。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28145.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790828614120525081162230408848&type=S&s=2252'],辽宁博物馆
10,元青花缠枝牡丹纹盖罐,"中国历史学年代,元(1206~1368)",nan,瓷器,一级,瓷,不详,nan,罐体方唇直口，束颈丰肩，收腹平底，内挖浅圈足。器表满绘寓意吉祥的青花图案，从盖面以下分别为：卷草纹、缠枝牡丹纹、海水纹、锦纹、缠枝花卉纹、缠枝连纹、覆莲瓣内含杂宝纹、缠枝牡丹纹、卷草纹、以及仰莲瓣内含如意石榴纹。胎体细白坚硬，釉面匀净清澈。青花发色深沉浓艳，色浓处可见银黑色沉斑。罐盖呈元代流行的笠帽形，盖内“子口”凸出犹如帽身。盖顶遗有圆孔，孔壁光滑，釉际自然，应是烧造时预留安置其它材质盖钮所用。盖沿有磕伤，可见锔钉痕迹，据此判断当时在使用过程中损伤修补过。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/130326.html,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791540205220525081474552102541&type=S&s=2201', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791540687520525081150260923533&type=S&s=2093']",辽宁博物馆
