collectID,名称,年代,年代备注,类型,图片,详情,博物馆
24766,广东新语 素馨,,,古籍,https://www.gdmuseum.com/upload/cn/image/2024-01/1706145723808.jpg,https://www.gdmuseum.com/cn/col49/149329,广东博物馆
24767,寒香馆藏真帖六卷第六册,,,古籍,https://www.gdmuseum.com/upload/cn/image/2024-01/1706145337198.jpg,https://www.gdmuseum.com/cn/col49/149328,广东博物馆
24768,寒香馆藏真帖六卷第五册,,,古籍,https://www.gdmuseum.com/upload/cn/image/2024-01/1706144935133.jpg,https://www.gdmuseum.com/cn/col49/149327,广东博物馆
24769,寒香馆藏真帖六卷第四册,,,古籍,https://www.gdmuseum.com/upload/cn/image/2024-01/1706144315562.jpg,https://www.gdmuseum.com/cn/col49/149326,广东博物馆
24770,寒香馆藏真帖六卷第三册,,,古籍,https://www.gdmuseum.com/upload/cn/image/2024-01/1706087687596.jpg,https://www.gdmuseum.com/cn/col49/149325,广东博物馆
24771,寒香馆藏真帖六卷第二册,,,古籍,https://www.gdmuseum.com/upload/cn/image/2024-01/1706087050363.jpg,https://www.gdmuseum.com/cn/col49/149324,广东博物馆
24772,寒香馆藏真帖六卷第一册,,,古籍,https://www.gdmuseum.com/upload/cn/image/2024-01/1706084923740.jpg,https://www.gdmuseum.com/cn/col49/149323,广东博物馆
24773,明崇祯款青花罗汉纹炉,明,明·崇祯（公元1628-1644年）,瓷器,https://www.gdmuseum.com/upload/cn/image/2024-01/1706083138612.png,https://www.gdmuseum.com/cn/col49/149322,广东博物馆
24774,明正统八年墨彩笔架,明,明·正统（公元1436-1449年）,瓷器,https://www.gdmuseum.com/upload/cn/image/2024-01/1706081692474.jpg,https://www.gdmuseum.com/cn/col49/149320,广东博物馆
24775,清雍正仿汝窑瓷片,清,清·雍正（公元1722—1735 年）,瓷器,https://www.gdmuseum.com/upload/cn/image/2024-01/1706081490095.jpg,https://www.gdmuseum.com/cn/col49/149319,广东博物馆
24776,清苏长春人物轴,清,,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2024-01/1705977489949.jpg,https://www.gdmuseum.com/cn/col49/149318,广东博物馆
24777,清苏长春光孝寺十八罗汉图轴,清,,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2024-01/1705977411829.jpg,https://www.gdmuseum.com/cn/col49/149317,广东博物馆
24778,元龙泉小碗,元,元,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703125536315.jpg,https://www.gdmuseum.com/cn/col49/149315,广东博物馆
24779,元龙泉小碗,元,元,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703125274572.jpg,https://www.gdmuseum.com/cn/col49/149314,广东博物馆
24780,宋龙泉小碗,宋,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703125124252.jpg,https://www.gdmuseum.com/cn/col49/149313,广东博物馆
24781,宋龙泉小碗,宋,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703124742584.jpg,https://www.gdmuseum.com/cn/col49/149312,广东博物馆
24782,清乾隆款变釉长颈瓶,清,清·乾隆（公元1736-1795年）,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703124449131.jpg,https://www.gdmuseum.com/cn/col49/149311,广东博物馆
24783,清德化白釉觚,清,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703123875156.jpg,https://www.gdmuseum.com/cn/col49/149310,广东博物馆
24784,明德化窑土地像,明,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703123674351.jpg,https://www.gdmuseum.com/cn/col49/149309,广东博物馆
24785,明宜兴仿宋钧鼓钉三足洗,明,,陶器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703123445756.jpg,https://www.gdmuseum.com/cn/col49/149308,广东博物馆
24786,明龙泉女佛龛,明,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703123062363.jpg,https://www.gdmuseum.com/cn/col49/149307,广东博物馆
24787,清雍正仿成化珊瑚红小碗,清,清·雍正（公元1722—1735 年）,,https://www.gdmuseum.com/upload/cn/image/2023-12/1703122899245.jpg,https://www.gdmuseum.com/cn/col49/149306,广东博物馆
24788,明龙泉窑梅子青鼓墩,明,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703122520512.jpg,https://www.gdmuseum.com/cn/col49/149305,广东博物馆
24789,明德化窑白釉笔架,明,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1703122150412.jpg,https://www.gdmuseum.com/cn/col49/149304,广东博物馆
24790,青釉小碗,唐,,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702952888220.jpg,https://www.gdmuseum.com/cn/col49/149303,广东博物馆
24791,唐双耳黑釉钵,唐,,陶器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702605631004.jpg,https://www.gdmuseum.com/cn/col49/149302,广东博物馆
24792,清方士庶山水册,清,,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-12/1702516825297.jpg,https://www.gdmuseum.com/cn/col49/149301,广东博物馆
24793,清方士庶山水轴,清,,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-12/1702516772097.jpg,https://www.gdmuseum.com/cn/col49/149300,广东博物馆
24794,清方士庶寒林图轴,清,,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-12/1702516711687.jpg,https://www.gdmuseum.com/cn/col49/149299,广东博物馆
24795,清方士庶山荘春晓图轴,清,,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-12/1702516643039.jpg,https://www.gdmuseum.com/cn/col49/149298,广东博物馆
