collectID,name,author,relicTime,imageUrl,description,realUrl,museum
26846,蓝白装饰的罐子,nan,1368–1644,https://piction-web.eas.iu.edu/piction/ump.di?e=36619863BC7AA4EE012E269E1F701F4FC27510B26C93BD823E6DA80E88546362&s=21&se=1748063691&v=1&f=xx2003.127_o4.jpg,Lena J.Stewart收藏的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2003.127,印第安纳博物馆
26847,中餐盘,nan,十九世纪,nan,Esther Ritz-Collyer的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.515,印第安纳博物馆
26848,带有云卷轴设计的罐子,nan,206 ECB-8 EC,https://piction-web.eas.iu.edu/piction/ump.di?e=A012EC9C26FEC4698CB38043BBB0C110C521C67AFA6620D5366D61B8E193F628&s=21&se=1748063691&v=1&f=xx2006.812_o4.jpg,Margaret和Michael Chung纪念Harrie Vanderstapen神父的礼物，SVD，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.812,印第安纳博物馆
26849,球形罐子,nan,2650–2350 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=A5F4CF8420B67FF71D006FAFF3D7B359530596F556EB6FED5BEDA84A32938CE0&s=21&se=1748063691&v=1&f=xx2006.817_o4.jpg,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.817,印第安纳博物馆
26850,站姿服务员,nan,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=D75E4382B118BDDFB053D6179F6E2A07FC5AF459A81A2AAB13A15D55CB8679A5&s=21&se=1748063691&v=1&f=xx2006.819_o4.jpg,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.819,印第安纳博物馆
26851,建筑物,nan,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=D75E4382B118BDDF75991A66CDD4328A9732076BAB24B2784B34D5992D8E4230&s=21&se=1748063691&v=1&f=xx2006.820_o4.jpg,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.820,印第安纳博物馆
26852,跪着的骆驼,nan,618–907,https://piction-web.eas.iu.edu/piction/ump.di?e=A5F4CF8420B67FF70172A7DB2889D92FA0C3FB9B3B94E40B87F8867FAA046B35&s=21&se=1748063691&v=1&f=xx2006.823_o4.jpg,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.823,印第安纳博物馆
26853,黑釉石缸,nan,11-13世纪,nan,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.824,印第安纳博物馆
26854,骑马的音乐家,nan,618–907,https://piction-web.eas.iu.edu/piction/ump.di?e=9EA3AB888394B03E619D623713256E2E92B0581C4FBE9BE7C1391BC6EEF7F20A&s=21&se=1748063691&v=1&f=xx2006.825_o4.jpg,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.825,印第安纳博物馆
26855,地球精神,nan,八世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=65EE54B0BD83BD1E5DFD484C92EF7C43039FA233E4A50BB50572C4D6A45406E6&s=21&se=1748063691&v=1&f=xx2006.826_o4.jpg,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.826,印第安纳博物馆
