collectID,relationship,collectLevel
1,藏品等级,一级
2,藏品等级,一级
3,藏品等级,一级
4,藏品等级,一级
5,藏品等级,一级
6,藏品等级,二级
7,藏品等级,一级
8,藏品等级,一级
9,藏品等级,一级
10,藏品等级,一级
11,藏品等级,二级
12,藏品等级,二级
13,藏品等级,一级
14,藏品等级,二级
15,藏品等级,一级
16,藏品等级,二级
17,藏品等级,二级
18,藏品等级,三级
19,藏品等级,三级
20,藏品等级,一级
21,藏品等级,一级
22,藏品等级,二级
23,藏品等级,一级
24,藏品等级,一级
25,藏品等级,一级
26,藏品等级,一级
27,藏品等级,一级
28,藏品等级,一级
29,藏品等级,一级
30,藏品等级,一级
31,藏品等级,一级
32,藏品等级,一级
33,藏品等级,三级
34,藏品等级,二级
35,藏品等级,二级
36,藏品等级,三级
37,藏品等级,三级
38,藏品等级,三级
39,藏品等级,三级
40,藏品等级,三级
41,藏品等级,三级
42,藏品等级,三级
43,藏品等级,二级
44,藏品等级,三级
45,藏品等级,三级
46,藏品等级,三级
47,藏品等级,三级
48,藏品等级,三级
49,藏品等级,二级
50,藏品等级,三级
51,藏品等级,三级
52,藏品等级,三级
53,藏品等级,三级
54,藏品等级,三级
55,藏品等级,二级
56,藏品等级,三级
57,藏品等级,三级
58,藏品等级,三级
59,藏品等级,三级
60,藏品等级,三级
61,藏品等级,二级
62,藏品等级,三级
63,藏品等级,三级
64,藏品等级,三级
65,藏品等级,二级
66,藏品等级,三级
67,藏品等级,三级
68,藏品等级,二级
69,藏品等级,三级
70,藏品等级,三级
71,藏品等级,三级
72,藏品等级,三级
73,藏品等级,三级
74,藏品等级,三级
75,藏品等级,三级
76,藏品等级,三级
77,藏品等级,三级
78,藏品等级,三级
79,藏品等级,三级
80,藏品等级,三级
81,藏品等级,三级
82,藏品等级,三级
83,藏品等级,三级
84,藏品等级,三级
85,藏品等级,二级
86,藏品等级,三级
87,藏品等级,二级
88,藏品等级,三级
89,藏品等级,三级
90,藏品等级,三级
91,藏品等级,三级
92,藏品等级,三级
93,藏品等级,三级
94,藏品等级,三级
95,藏品等级,三级
96,藏品等级,三级
97,藏品等级,二级
98,藏品等级,三级
99,藏品等级,三级
100,藏品等级,三级
101,藏品等级,三级
102,藏品等级,三级
103,藏品等级,三级
104,藏品等级,二级
105,藏品等级,二级
106,藏品等级,三级
107,藏品等级,三级
108,藏品等级,三级
