collectID,relationship,collectTexture
1,藏品材质,瓷
2,藏品材质,陶
3,藏品材质,瓷
4,藏品材质,陶
5,藏品材质,陶
6,藏品材质,陶
7,藏品材质,陶
8,藏品材质,"铜,其他无机质"
9,藏品材质,瓷
10,藏品材质,瓷
11,藏品材质,瓷
12,藏品材质,瓷
13,藏品材质,瓷
14,藏品材质,瓷
15,藏品材质,瓷
16,藏品材质,瓷
17,藏品材质,"棉麻纤维,其他有机质"
18,藏品材质,nan
19,藏品材质,nan
20,藏品材质,瓷
21,藏品材质,铜
22,藏品材质,铜
23,藏品材质,铜
24,藏品材质,铜
25,藏品材质,铜
26,藏品材质,铜
27,藏品材质,铜
28,藏品材质,铜
29,藏品材质,铜
30,藏品材质,铜
31,藏品材质,铜
32,藏品材质,铜
33,藏品材质,瓷
34,藏品材质,纸
35,藏品材质,木
36,藏品材质,纸
37,藏品材质,纸
38,藏品材质,纸
39,藏品材质,纸
40,藏品材质,纸
41,藏品材质,纸
42,藏品材质,纸
43,藏品材质,木
44,藏品材质,纸
45,藏品材质,纸
46,藏品材质,纸
47,藏品材质,纸
48,藏品材质,纸
49,藏品材质,木
50,藏品材质,纸
51,藏品材质,纸
52,藏品材质,纸
53,藏品材质,丝
54,藏品材质,纸
55,藏品材质,木
56,藏品材质,纸
57,藏品材质,纸
58,藏品材质,纸
59,藏品材质,纸
60,藏品材质,纸
61,藏品材质,木
62,藏品材质,纸
63,藏品材质,纸
64,藏品材质,纸
65,藏品材质,木
66,藏品材质,纸
67,藏品材质,纸
68,藏品材质,木
69,藏品材质,纸
70,藏品材质,纸
71,藏品材质,纸
72,藏品材质,纸
73,藏品材质,纸
74,藏品材质,纸
75,藏品材质,纸
76,藏品材质,纸
77,藏品材质,纸
78,藏品材质,纸
79,藏品材质,纸
80,藏品材质,纸
81,藏品材质,纸
82,藏品材质,纸
83,藏品材质,纸
84,藏品材质,纸
85,藏品材质,纸
86,藏品材质,纸
87,藏品材质,纸
88,藏品材质,纸
89,藏品材质,纸
90,藏品材质,纸
91,藏品材质,纸
92,藏品材质,纸
93,藏品材质,纸
94,藏品材质,纸
95,藏品材质,纸
96,藏品材质,纸
97,藏品材质,纸
98,藏品材质,纸
99,藏品材质,纸
100,藏品材质,纸
101,藏品材质,纸
102,藏品材质,纸
103,藏品材质,纸
104,藏品材质,纸
105,藏品材质,纸
106,藏品材质,纸
107,藏品材质,皮革
108,藏品材质,纸
109,藏品材质,纸
110,藏品材质,纸
111,藏品材质,纸
112,藏品材质,纸
113,藏品材质,纸
114,藏品材质,纸
115,藏品材质,纸
116,藏品材质,纸
117,藏品材质,纸
118,藏品材质,纸
119,藏品材质,纸
120,藏品材质,纸
121,藏品材质,纸
122,藏品材质,纸
123,藏品材质,纸
124,藏品材质,纸
125,藏品材质,纸
126,藏品材质,纸
127,藏品材质,纸
128,藏品材质,纸
129,藏品材质,纸
130,藏品材质,"竹,毛,石"
131,藏品材质,纸
132,藏品材质,纸
133,藏品材质,纸
134,藏品材质,纸
135,藏品材质,铜
136,藏品材质,纸
137,藏品材质,宝玉石
138,藏品材质,纸
139,藏品材质,纸
140,藏品材质,纸
141,藏品材质,纸
142,藏品材质,纸
143,藏品材质,铜
144,藏品材质,纸
145,藏品材质,宝玉石
146,藏品材质,木
147,藏品材质,纸
148,藏品材质,纸
149,藏品材质,纸
150,藏品材质,纸
151,藏品材质,纸
152,藏品材质,宝玉石
