collectID,relationship,museum
1,所处博物馆,辽宁博物馆
2,所处博物馆,辽宁博物馆
3,所处博物馆,辽宁博物馆
4,所处博物馆,辽宁博物馆
5,所处博物馆,辽宁博物馆
6,所处博物馆,辽宁博物馆
7,所处博物馆,辽宁博物馆
8,所处博物馆,辽宁博物馆
9,所处博物馆,辽宁博物馆
10,所处博物馆,辽宁博物馆
11,所处博物馆,辽宁博物馆
12,所处博物馆,辽宁博物馆
13,所处博物馆,辽宁博物馆
14,所处博物馆,辽宁博物馆
15,所处博物馆,辽宁博物馆
16,所处博物馆,辽宁博物馆
17,所处博物馆,辽宁博物馆
18,所处博物馆,辽宁博物馆
19,所处博物馆,辽宁博物馆
20,所处博物馆,辽宁博物馆
21,所处博物馆,辽宁博物馆
22,所处博物馆,辽宁博物馆
23,所处博物馆,辽宁博物馆
24,所处博物馆,辽宁博物馆
25,所处博物馆,辽宁博物馆
26,所处博物馆,辽宁博物馆
27,所处博物馆,辽宁博物馆
28,所处博物馆,辽宁博物馆
29,所处博物馆,辽宁博物馆
30,所处博物馆,辽宁博物馆
31,所处博物馆,辽宁博物馆
32,所处博物馆,辽宁博物馆
33,所处博物馆,辽宁博物馆
34,所处博物馆,辽宁博物馆
35,所处博物馆,辽宁博物馆
36,所处博物馆,辽宁博物馆
37,所处博物馆,辽宁博物馆
38,所处博物馆,辽宁博物馆
39,所处博物馆,辽宁博物馆
40,所处博物馆,辽宁博物馆
41,所处博物馆,辽宁博物馆
42,所处博物馆,辽宁博物馆
43,所处博物馆,辽宁博物馆
44,所处博物馆,辽宁博物馆
45,所处博物馆,辽宁博物馆
46,所处博物馆,辽宁博物馆
47,所处博物馆,辽宁博物馆
48,所处博物馆,辽宁博物馆
49,所处博物馆,辽宁博物馆
50,所处博物馆,辽宁博物馆
51,所处博物馆,辽宁博物馆
52,所处博物馆,辽宁博物馆
53,所处博物馆,辽宁博物馆
54,所处博物馆,辽宁博物馆
55,所处博物馆,辽宁博物馆
56,所处博物馆,辽宁博物馆
57,所处博物馆,辽宁博物馆
58,所处博物馆,辽宁博物馆
59,所处博物馆,辽宁博物馆
60,所处博物馆,辽宁博物馆
61,所处博物馆,辽宁博物馆
62,所处博物馆,辽宁博物馆
63,所处博物馆,辽宁博物馆
64,所处博物馆,辽宁博物馆
65,所处博物馆,辽宁博物馆
66,所处博物馆,辽宁博物馆
67,所处博物馆,辽宁博物馆
68,所处博物馆,辽宁博物馆
69,所处博物馆,辽宁博物馆
70,所处博物馆,辽宁博物馆
71,所处博物馆,辽宁博物馆
72,所处博物馆,辽宁博物馆
73,所处博物馆,辽宁博物馆
74,所处博物馆,辽宁博物馆
75,所处博物馆,辽宁博物馆
76,所处博物馆,辽宁博物馆
77,所处博物馆,辽宁博物馆
78,所处博物馆,辽宁博物馆
79,所处博物馆,辽宁博物馆
80,所处博物馆,辽宁博物馆
81,所处博物馆,辽宁博物馆
82,所处博物馆,辽宁博物馆
83,所处博物馆,辽宁博物馆
84,所处博物馆,辽宁博物馆
85,所处博物馆,辽宁博物馆
86,所处博物馆,辽宁博物馆
87,所处博物馆,辽宁博物馆
88,所处博物馆,辽宁博物馆
89,所处博物馆,辽宁博物馆
90,所处博物馆,辽宁博物馆
91,所处博物馆,辽宁博物馆
92,所处博物馆,辽宁博物馆
93,所处博物馆,辽宁博物馆
94,所处博物馆,辽宁博物馆
95,所处博物馆,辽宁博物馆
96,所处博物馆,辽宁博物馆
97,所处博物馆,辽宁博物馆
98,所处博物馆,辽宁博物馆
99,所处博物馆,辽宁博物馆
100,所处博物馆,辽宁博物馆
101,所处博物馆,辽宁博物馆
102,所处博物馆,辽宁博物馆
103,所处博物馆,辽宁博物馆
104,所处博物馆,辽宁博物馆
105,所处博物馆,辽宁博物馆
106,所处博物馆,辽宁博物馆
107,所处博物馆,辽宁博物馆
108,所处博物馆,辽宁博物馆
109,所处博物馆,辽宁博物馆
110,所处博物馆,辽宁博物馆
111,所处博物馆,辽宁博物馆
112,所处博物馆,辽宁博物馆
113,所处博物馆,辽宁博物馆
114,所处博物馆,辽宁博物馆
115,所处博物馆,辽宁博物馆
116,所处博物馆,辽宁博物馆
117,所处博物馆,辽宁博物馆
118,所处博物馆,辽宁博物馆
119,所处博物馆,辽宁博物馆
120,所处博物馆,辽宁博物馆
121,所处博物馆,辽宁博物馆
122,所处博物馆,辽宁博物馆
123,所处博物馆,辽宁博物馆
124,所处博物馆,辽宁博物馆
125,所处博物馆,辽宁博物馆
126,所处博物馆,辽宁博物馆
127,所处博物馆,辽宁博物馆
128,所处博物馆,辽宁博物馆
129,所处博物馆,辽宁博物馆
130,所处博物馆,辽宁博物馆
131,所处博物馆,辽宁博物馆
132,所处博物馆,辽宁博物馆
133,所处博物馆,辽宁博物馆
134,所处博物馆,辽宁博物馆
135,所处博物馆,辽宁博物馆
136,所处博物馆,辽宁博物馆
137,所处博物馆,辽宁博物馆
138,所处博物馆,辽宁博物馆
139,所处博物馆,辽宁博物馆
140,所处博物馆,辽宁博物馆
141,所处博物馆,辽宁博物馆
142,所处博物馆,辽宁博物馆
143,所处博物馆,辽宁博物馆
144,所处博物馆,辽宁博物馆
145,所处博物馆,辽宁博物馆
146,所处博物馆,辽宁博物馆
147,所处博物馆,辽宁博物馆
148,所处博物馆,辽宁博物馆
149,所处博物馆,辽宁博物馆
150,所处博物馆,辽宁博物馆
151,所处博物馆,辽宁博物馆
152,所处博物馆,辽宁博物馆
153,所处博物馆,辽宁博物馆
154,所处博物馆,辽宁博物馆
155,所处博物馆,辽宁博物馆
156,所处博物馆,辽宁博物馆
157,所处博物馆,辽宁博物馆
158,所处博物馆,辽宁博物馆
159,所处博物馆,辽宁博物馆
160,所处博物馆,辽宁博物馆
161,所处博物馆,辽宁博物馆
162,所处博物馆,辽宁博物馆
163,所处博物馆,辽宁博物馆
164,所处博物馆,辽宁博物馆
165,所处博物馆,辽宁博物馆
166,所处博物馆,辽宁博物馆
167,所处博物馆,辽宁博物馆
168,所处博物馆,辽宁博物馆
169,所处博物馆,辽宁博物馆
170,所处博物馆,辽宁博物馆
171,所处博物馆,辽宁博物馆
