collectID,relationship,source
34,藏品来源,征集购买
35,藏品来源,征集购买
36,藏品来源,征集购买
37,藏品来源,征集购买
38,藏品来源,接受捐赠
39,藏品来源,征集购买
40,藏品来源,接受捐赠
41,藏品来源,征集购买
42,藏品来源,旧藏
43,藏品来源,征集购买
44,藏品来源,征集购买
45,藏品来源,接受捐赠
46,藏品来源,征集购买
47,藏品来源,接受捐赠
48,藏品来源,征集购买
49,藏品来源,征集购买
50,藏品来源,征集购买
51,藏品来源,接受捐赠
52,藏品来源,征集购买
53,藏品来源,接受捐赠
54,藏品来源,征集购买
55,藏品来源,征集购买
56,藏品来源,征集购买
57,藏品来源,接受捐赠
58,藏品来源,征集购买
59,藏品来源,接受捐赠
60,藏品来源,征集购买
61,藏品来源,征集购买
62,藏品来源,接受捐赠
63,藏品来源,征集购买
64,藏品来源,征集购买
65,藏品来源,征集购买
66,藏品来源,接受捐赠
67,藏品来源,征集购买
68,藏品来源,征集购买
69,藏品来源,接受捐赠
70,藏品来源,征集购买
71,藏品来源,征集购买
72,藏品来源,征集购买
73,藏品来源,接受捐赠
74,藏品来源,征集购买
75,藏品来源,征集购买
76,藏品来源,接受捐赠
77,藏品来源,征集购买
78,藏品来源,征集购买
79,藏品来源,征集购买
80,藏品来源,征集购买
81,藏品来源,接受捐赠
82,藏品来源,征集购买
83,藏品来源,征集购买
84,藏品来源,征集购买
85,藏品来源,征集购买
86,藏品来源,征集购买
87,藏品来源,征集购买
88,藏品来源,接受捐赠
89,藏品来源,征集购买
90,藏品来源,征集购买
91,藏品来源,征集购买
92,藏品来源,征集购买
93,藏品来源,接受捐赠
94,藏品来源,征集购买
95,藏品来源,征集购买
96,藏品来源,旧藏
97,藏品来源,征集购买
98,藏品来源,接受捐赠
99,藏品来源,接受捐赠
100,藏品来源,接受捐赠
101,藏品来源,征集购买
102,藏品来源,征集购买
103,藏品来源,旧藏
104,藏品来源,征集购买
105,藏品来源,征集购买
106,藏品来源,征集购买
107,藏品来源,接受捐赠
108,藏品来源,征集购买
109,藏品来源,征集购买
110,藏品来源,拨交
111,藏品来源,征集购买
112,藏品来源,征集购买
113,藏品来源,征集购买
114,藏品来源,接受捐赠
115,藏品来源,征集购买
116,藏品来源,征集购买
117,藏品来源,采集
118,藏品来源,征集购买
119,藏品来源,征集购买
120,藏品来源,征集购买
121,藏品来源,接受捐赠
122,藏品来源,征集购买
123,藏品来源,征集购买
124,藏品来源,征集购买
125,藏品来源,征集购买
126,藏品来源,征集购买
127,藏品来源,接受捐赠
128,藏品来源,征集购买
129,藏品来源,征集购买
130,藏品来源,征集购买
131,藏品来源,征集购买
132,藏品来源,接受捐赠
133,藏品来源,征集购买
134,藏品来源,征集购买
135,藏品来源,征集购买
136,藏品来源,征集购买
137,藏品来源,征集购买
138,藏品来源,征集购买
139,藏品来源,接受捐赠
140,藏品来源,接受捐赠
141,藏品来源,征集购买
142,藏品来源,旧藏
143,藏品来源,征集购买
144,藏品来源,征集购买
145,藏品来源,征集购买
146,藏品来源,采集
147,藏品来源,征集购买
148,藏品来源,接受捐赠
149,藏品来源,接受捐赠
150,藏品来源,征集购买
151,藏品来源,征集购买
152,藏品来源,征集购买
153,藏品来源,采集
154,藏品来源,接受捐赠
155,藏品来源,征集购买
156,藏品来源,征集购买
157,藏品来源,旧藏
158,藏品来源,征集购买
159,藏品来源,征集购买
160,藏品来源,采集
161,藏品来源,接受捐赠
162,藏品来源,征集购买
163,藏品来源,征集购买
164,藏品来源,征集购买
165,藏品来源,征集购买
166,藏品来源,接受捐赠
167,藏品来源,征集购买
168,藏品来源,征集购买
169,藏品来源,采集
170,藏品来源,征集购买
171,藏品来源,采集
172,藏品来源,接受捐赠
173,藏品来源,征集购买
174,藏品来源,接受捐赠
175,藏品来源,征集购买
176,藏品来源,旧藏
177,藏品来源,采集
178,藏品来源,征集购买
179,藏品来源,采集
180,藏品来源,接受捐赠
181,藏品来源,征集购买
182,藏品来源,接受捐赠
183,藏品来源,征集购买
184,藏品来源,拨交
185,藏品来源,采集
186,藏品来源,接受捐赠
187,藏品来源,接受捐赠
188,藏品来源,接受捐赠
189,藏品来源,旧藏
190,藏品来源,征集购买
191,藏品来源,拨交
192,藏品来源,采集
193,藏品来源,接受捐赠
194,藏品来源,征集购买
195,藏品来源,接受捐赠
196,藏品来源,征集购买
197,藏品来源,拨交
198,藏品来源,采集
199,藏品来源,接受捐赠
200,藏品来源,征集购买
201,藏品来源,接受捐赠
202,藏品来源,旧藏
203,藏品来源,征集购买
204,藏品来源,拨交
205,藏品来源,采集
206,藏品来源,征集购买
207,藏品来源,接受捐赠
208,藏品来源,接受捐赠
209,藏品来源,接受捐赠
210,藏品来源,旧藏
211,藏品来源,征集购买
212,藏品来源,拨交
213,藏品来源,采集
214,藏品来源,征集购买
215,藏品来源,征集购买
216,藏品来源,征集购买
217,藏品来源,接受捐赠
218,藏品来源,征集购买
219,藏品来源,旧藏
220,藏品来源,征集购买
221,藏品来源,采集
222,藏品来源,征集购买
223,藏品来源,接受捐赠
224,藏品来源,旧藏
225,藏品来源,征集购买
226,藏品来源,采集
227,藏品来源,征集购买
228,藏品来源,征集购买
229,藏品来源,接受捐赠
230,藏品来源,接受捐赠
231,藏品来源,征集购买
232,藏品来源,征集购买
233,藏品来源,征集购买
234,藏品来源,征集购买
235,藏品来源,征集购买
236,藏品来源,接受捐赠
237,藏品来源,接受捐赠
238,藏品来源,征集购买
239,藏品来源,征集购买
240,藏品来源,征集购买
241,藏品来源,征集购买
242,藏品来源,接受捐赠
243,藏品来源,依法交换
244,藏品来源,征集购买
245,藏品来源,接受捐赠
246,藏品来源,征集购买
247,藏品来源,征集购买
248,藏品来源,接受捐赠
249,藏品来源,依法交换
250,藏品来源,征集购买
251,藏品来源,征集购买
252,藏品来源,征集购买
253,藏品来源,征集购买
254,藏品来源,接受捐赠
255,藏品来源,接受捐赠
256,藏品来源,征集购买
