藏品编号,藏品名字,藏品博物馆,藏品年代,藏品年代简介,藏品作者,藏品类型,藏品介绍,藏品图片地址,藏品地址,藏品材质,藏品来源,藏品收藏等级
1,辽白釉剔划牡丹纹盘口长颈瓶,辽宁博物馆,辽,"中国历史学年代,辽(907~1125)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790713658120525081783957931895&type=S&s=2059'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/27857.html,瓷,,一级
2,辽绿釉贴团龙菊花纹双孔鸡冠壶,辽宁博物馆,辽,"中国历史学年代,辽(907~1125)",,陶器,,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790702421320525081102552298938&type=S&s=2088', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790702936920525081102552291549&type=S&s=2336', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790703395520525081102552296794&type=S&s=2093']",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/2275.html,陶,,一级
3,白瓷横梁鸡冠壶,辽宁博物馆,,"中国历史学年代,辽(907~1125)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791044179920525081111107341982&type=S&s=2232'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/9924.html,瓷,,一级
4,辽黄釉划弦纹凤首瓶,辽宁博物馆,辽,"中国历史学年代,辽(907~1125)",,陶器,,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790695025820525081102552296242&type=S&s=2214', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790695843520525081207235343251&type=S&s=2044']",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/2143.html,陶,,一级
5,辽黄釉葫芦形执壶,辽宁博物馆,辽,"中国历史学年代,辽(907~1125)",,陶器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790698805220525081102552292219&type=S&s=2197'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/34668.html,陶,,一级
6,辽绿釉凤首瓶,辽宁博物馆,辽,"中国历史学年代,辽(907~1125)",,陶器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790879977920525081129328557041&type=S&s=2300'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/27458.html,陶,,二级
7,辽三彩釉印花八卦纹执壶,辽宁博物馆,辽,"中国历史学年代,辽(907~1125)",,陶器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790853765720525081160255685973&type=S&s=2204'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/9920.html,陶,,一级
8,清雍正铜胎画珐琅黄地牡丹纹双连盖盒,辽宁博物馆,清,"中国历史学年代,清(1616~1911)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790707479020525081372525261528&type=S&s=2287'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/4715.html,"铜,其他无机质",,一级
9,元青花松竹梅纹八棱罐,辽宁博物馆,元,"中国历史学年代,元(1206~1368)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790828614120525081162230408848&type=S&s=2252'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28145.html,瓷,,一级
10,元青花缠枝牡丹纹盖罐,辽宁博物馆,,"中国历史学年代,元(1206~1368)",,瓷器,,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791540205220525081474552102541&type=S&s=2201', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791540687520525081150260923533&type=S&s=2093']",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/130326.html,瓷,,一级
11,青花缠枝灵芝纹高足杯,辽宁博物馆,,"中国历史学年代,元(1206~1368)",,瓷器,,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791543385020525081150260926423&type=S&s=2009', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791543797220525081137262291904&type=S&s=2289', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791544131620525081150260922049&type=S&s=2238']",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/4632.html,瓷,,二级
12,青花双鸾纹高足杯,辽宁博物馆,,"中国历史学年代,元(1206~1368)",,瓷器,,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791545677020525081148654325562&type=S&s=2109', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791546097120525081131603708327&type=S&s=2181', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791546461320525081148654323764&type=S&s=2346']",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/4633.html,瓷,,二级
13,元青花云龙纹高足杯,辽宁博物馆,元,"中国历史学年代,元(1206~1368)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790814410020525081146945808233&type=S&s=2143'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28248.html,瓷,,一级
14,元青花云龙纹高足杯,辽宁博物馆,元,"中国历史学年代,元(1206~1368)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790807670820525081900534161049&type=S&s=1939'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/26332.html,瓷,,二级
15,元青花折枝栀子花纹梨形壶,辽宁博物馆,元,"中国历史学年代,元(1206~1368)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790822064420525081163541411304&type=S&s=2326'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28247.html,瓷,,一级
16,元青花十字杵纹盘,辽宁博物馆,元,"中国历史学年代,元(1206~1368)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790804861420525081163541417257&type=S&s=2482'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/2612.html,瓷,,二级
17,清黑漆螺钿游春图帽盒,辽宁博物馆,清,"中国历史学年代,清(1616~1911)",,漆器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790835391520525081900534169381&type=S&s=2427'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/qihe.html,"棉麻纤维,其他有机质",,二级
18,清乾隆黄地青花云龙纹螭耳扁壶,辽宁博物馆,清,"中国历史学年代,清(1616~1911)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791252073720525081878711373866&type=S&s=2140'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/18220.html,,,三级
19,清嘉庆粉彩莲花寿字纹瓶,辽宁博物馆,清,"中国历史学年代,清(1616~1911)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791354249720525081464793805176&type=S&s=2042'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/18235.html,,,三级
20,钧窑窑变釉铺首衔环三足炉,辽宁博物馆,,"中国历史学年代,宋",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791054412820525081420088184460&type=S&s=2288'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/17851.html,瓷,,一级
21,雷乳纹方鼎,辽宁博物馆,商,"中国历史学年代,商(前1600~前1046)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790710340320525081129883153607&type=S&s=2175'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/21.html,铜,,一级
22,西周“圉”铜簋,辽宁博物馆,,"中国历史学年代,周,西周(前1046~前771)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791326560020525081249413445278&type=S&s=2330'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/22.html,铜,,二级
23,西周“鱼”铭铜尊,辽宁博物馆,西周,"中国历史学年代,周,西周(前1046~前771)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790677587420525081372525261063&type=S&s=2341'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/23.html,铜,,一级
24,西周卷体夔纹蟠龙盖罍,辽宁博物馆,西周,"中国历史学年代,周,西周(前1046~前771)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790686805820525081102552299775&type=S&s=2374'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/24.html,铜,,一级
25,西周“伯矩”甗,辽宁博物馆,西周,"中国历史学年代,周,西周(前1046~前771)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790649252320525081372525264177&type=S&s=2262'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/25.html,铜,,一级
26,西周“史伐”卣,辽宁博物馆,西周,"中国历史学年代,周,西周(前1046~前771)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791399804820525081111107349557&type=S&s=2095'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/26.html,铜,,一级
27,西周“登屰”方罍,辽宁博物馆,西周,"中国历史学年代,周,西周(前1046~前771)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791389733820525081103688457084&type=S&s=2252'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/27.html,铜,,一级
28,西周宽带纹贯耳壶,辽宁博物馆,西周晚期,"中国历史学年代,周,西周(前1046~前771)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790689921720525081173906417806&type=S&s=2089'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28.html,铜,,一级
29,北宋“上京”款大晟南吕编钟,辽宁博物馆,北宋,"中国历史学年代,宋,北宋(960~1127)",,铜器,,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790562192920525081865645225057&type=S&s=2337', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790571332520525081865645221782&type=S&s=2318']",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/29.html,铜,,一级
30,商“大祖日己”戈,辽宁博物馆,商,"中国历史学年代,商(前1600~前1046)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790999818620525081173906418381&type=S&s=2253'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/30.html,铜,,一级
31,商“祖日乙”戈,辽宁博物馆,商,"中国历史学年代,商(前1600~前1046)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791005853120525081163541416989&type=S&s=2388'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/30.html,铜,,一级
32,商“大兄日乙”戈,辽宁博物馆,商,"中国历史学年代,商(前1600~前1046)",,铜器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791010867320525081317285158457&type=S&s=2373'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/30.html,铜,,一级
33,清乾隆粉彩百花尊,辽宁博物馆,清,"中国历史学年代,清(1616~1911)",,瓷器,,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790947430420525081146945809106&type=S&s=2338'],https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/31.html,瓷,,三级
34,现代齐白石灯鼠立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
35,现代反黄彫番莲五角立筋盖盒,辽宁博物馆,中华人民共和国,,,竹木雕,,,,木,征集购买,二级
36,现代王雪涛花三鸡图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
37,现代钱君匋行书七绝诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
38,现代许滌新书毛泽东诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
39,现代陆俨少水墨山水轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
40,现代冕少翔双寿图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
41,现代陈半丁行书毛泽东“冬雪”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
42,现代罗惇曧行书联,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
43,现代立筋方盖盒,辽宁博物馆,中华人民共和国,,,竹木雕,,,,木,征集购买,二级
