collectYear,Year_Introduction
辽,
辽,
nan,
辽,
辽,
辽,
辽,
清,
元,
nan,
nan,
nan,
元,
元,
元,
元,
清,
清,
清,
nan,
商,
nan,
西周,
西周,
西周,
西周,
西周,
西周晚期,
北宋,
商,
商,
商,
清,
红山文化,
商,
商,
商,
周,
周,
周,
周,
周,
周,
周,
周,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
汉,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
六朝,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
隋唐,
辽,
辽,
辽,
辽,
辽,
辽,
辽,
辽,
宋元,
宋元,
宋元,
宋元,
宋元,
宋元,
宋元,
宋元,
宋元,
宋元,
宋元,
宋元,
明,
明,
明,
明,
明,
明,
明,
明,
明,
明,
明,
清,
清,
明,
明,
明,
明,
清,
明,
明,
清,
清,
清,
清,
清,
清,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
现当代中国,
,
,
,
,
,
,
,
明,明·崇祯（公元1628-1644年）
明,明·正统（公元1436-1449年）
清,清·雍正（公元1722—1735 年）
清,
清,
元,元
元,元
宋,
宋,
清,清·乾隆（公元1736-1795年）
清,
明,
明,
明,
清,清·雍正（公元1722—1735 年）
明,
明,
唐,
唐,
清,
清,
清,
清,
清,
清,
宋,
宋,
宋,
北宋,北宋 ( 公元 960-1127 年 )
北宋,北宋 ( 公元 960-1127 年 )
北宋,北宋 ( 公元 960-1127 年 )
唐,
明,明·万历（公元1573-1620年）
明,明·万历（公元1573-1620年）
明,明·万历（公元1573-1620年）
明,明·万历（公元1573-1620年）
民国,民国(1912—1949 年 )
南宋,南宋 ( 公元 1127—1279 年 )
南宋,南宋 ( 公元 1127—1279 年 )
南宋,南宋 ( 公元 1127—1279 年 )
南宋,南宋 ( 公元 1127—1279 年 )
南宋,南宋 ( 公元 1127—1279 年 )
南宋,南宋 ( 公元 1127—1279 年 )
南朝,南朝
东汉,东汉 ( 公元 25-220 年 )
西周,西周中晚期
西周,西周中晚期
新石器时代,
唐,
宋,
唐,
战国,
战国,
新石器时代,
周代,
唐,
唐,
南朝,南朝
西晋,西晋
汉,
南朝,南朝
战国,
春秋,
春秋,
商,
商,
商,
东周,
东周,
东周,
宋,
西汉,
唐,
战国,
战国,
战国,
东汉,东汉 ( 公元 25-220 年 )
明,
明,
明,
汉,
汉,
元,元
元,元
元,元
战国,
战国,
唐,初唐
明,
明,
清,
明,
明,
明,
明,
明,
宋,
商,
商,
商,
东汉,东汉 ( 公元 25-220 年 )
战国,
战国,
清,清·初期
清,清·初期
清,清·初期
南宋,南宋 ( 公元 1127—1279 年 )
明,
明,
明,
东汉,东汉初期
西晋,西晋
西晋,西晋
南朝,南朝
南朝,南朝永初二年
南朝,南朝至唐
六朝,
东汉,东汉 ( 公元 25-220 年 )
清,19世纪
东汉,东汉 ( 公元 25-220 年 )
三国时期,
东汉,东汉 ( 公元 25-220 年 )
东汉,东汉 ( 公元 25-220 年 )
东汉,东汉 ( 公元 25-220 年 )
东汉,东汉中期
汉,
不详,
南宋,南宋 ( 公元 1127—1279 年 )
宋,
宋,
宋,
唐,
唐,
唐,
新石器时代,
新石器时代,
新石器时代,新石器中期
清,19世纪
清,19世纪
清,19世纪
清,清·嘉庆（公元1796-1820年）
清,清末
清,十九世纪
清,十九世纪
清,清·中期
清,约1870年
清,清末
清,十九世纪
清,
中华人民共和国,
唐,
宋,
战国,
北宋,北宋 ( 公元 960-1127 年 )
北宋,北宋 ( 公元 960-1127 年 )
北宋,北宋，宋神宗赵琐
北宋,北宋1022-1031
清,
,
近现代,
近现代,
近现代,
明,明·嘉靖（公元1522-1566年）
汉,
汉,
清,清·乾隆（公元1736-1795年）
清,约1774—1852年
清,1850年代晚期
清,约1820年
清,1826-1896年
清,1826-1896年
清,约1860年
清,19世纪
清,1870年
清,1850年
清,清·晚期
清,清·晚期
清,
清,
明,
清,
近代,
近代,
明,
近代,
清,
清,
清,清·嘉庆（公元1796-1820年）
清,清·乾隆（公元1736-1795年）
清,清·乾隆（公元1736-1795年）
清,清·乾隆（公元1736-1795年）
清,清·乾隆（公元1736-1795年）
清,清·乾隆（公元1736-1795年）
唐,
唐,
民国,民国(1912—1949 年 )
清,18世纪
清,18世纪（约1730年）
清,18世纪上半期
清,
清,清·同治 (公元1862—1874 年 )
清,清·雍正（公元1722—1735 年）
中华人民共和国,2002 年
中华人民共和国,1985年
中华人民共和国,1985年
清,清·乾隆（公元1736-1795年）
清,清·乾隆（公元1736-1795年）
清,清·同治 (公元1862—1874 年 )
清,清·嘉庆（公元1796-1820年）
清,清·乾隆（公元1736-1795年）
清,清·雍正（公元1722—1735 年）
民国,民国初期
清后期至民国,
清,
清,
民国,民国(1912—1949 年 )
宋,
清,清·乾隆（公元1736-1795年）
宋,
清,清·雍正（公元1722—1735 年）
六朝,
清,清·嘉庆（公元1796-1820年）
明,明·万历（公元1573-1620年）
明,明·万历（公元1573-1620年）
明,明·万历（公元1573-1620年）
清,清·光绪
清,清·雍正（公元1722—1735 年）
清,清·中期
清,清·中期
明,明·万历（公元1573-1620年）
明,明·万历（公元1573-1620年）
清,清·中期
明,明·万历（公元1573-1620年）
明,明·万历（公元1573-1620年）
明,明·嘉靖（公元1522-1566年）
清,清·雍正（公元1722—1735 年）
明,明·成化（公元1465-1487年）
外国文物,越南·15世纪
外国文物,泰国·15世纪
清,清·道光（公元1821-1850年）
清,清·道光（公元1821-1850年）
清,清·康熙（公元1662-1722年）
清,清·嘉庆（公元1796-1820年）
明,明·天顺（公元1457-1464年）
明,明·成化（公元1465-1487年）
明,明·正德（公元1506-1521年）
清,清·乾隆
清,清·光绪
清,清·同治 (公元1862—1874 年 )
清,清·雍正（公元1722—1735 年）
明,明·正德（公元1506-1521年）
明,明·弘治（公元1488-1505年）
明,明·万历（公元1573-1620年）
明,明·成化（公元1465-1487年）
清,清·顺治（公元1638年—1661年）
明,明·嘉靖（公元1522-1566年）
明,明·正德（公元1506-1521年）
清,清·康熙（公元1662-1722年）
明,明·宣德（公元1426-1435年）
明,明·宣德（公元1426-1435年）
明,明·万历（公元1573-1620年）
明,明·天启（公元1621-1627年）
清,清·光绪
清,清·嘉庆（公元1796-1820年）
清,清·乾隆
清,清·顺治（公元1638年—1661年）
清,清·康熙（公元1662-1722年）
清,清·道光（公元1821-1850年）
明,明·嘉靖（公元1522-1566年）
清,清·宣统（公元1909-1911年）
清,清·嘉庆（公元1796-1820年）
明,明·正德（公元1506-1521年）
明,明·正德（公元1506-1521年）
清,清·乾隆
清,清·康熙（公元1662-1722年）
清,清·雍正（公元1722—1735 年）
清,清·康熙（公元1662-1722年）
清,清·康熙（公元1662-1722年）
清,清·宣统（公元1909-1911年）
清,清·康熙（公元1662-1722年）
明,明·崇祯（公元1628-1644年）
清,清·同治 (公元1862—1874 年 )
明,明·万历（公元1573-1620年）
明,明·嘉靖（公元1522-1566年）
清,清·康熙（公元1662-1722年）
清,清·雍正（公元1722—1735 年）
清,清·光绪
清,清·咸丰（公元1851-1861年）
清,清·道光（公元1821-1850年）
清,清·道光（公元1821-1850年）
清,清·乾隆
清,清·雍正（公元1722—1735 年）
清,清·雍正（公元1722—1735 年）
明,明·万历（公元1573-1620年）
明,明·宣德（公元1426-1435年）
清,清·康熙（公元1662-1722年）
清,清·康熙（公元1662-1722年）
清,清·康熙（公元1662-1722年）
明,明·弘治（公元1488-1505年）
明,明·万历（公元1573-1620年）
清,清·雍正（公元1722—1735 年）
清,清·雍正（公元1722—1735 年）
清,清·道光（公元1821-1850年）
