collectID,relationship,collectType
1,藏品类型,瓷器
2,藏品类型,陶器
3,藏品类型,瓷器
4,藏品类型,陶器
5,藏品类型,陶器
6,藏品类型,陶器
7,藏品类型,陶器
8,藏品类型,铜器
9,藏品类型,瓷器
10,藏品类型,瓷器
11,藏品类型,瓷器
12,藏品类型,瓷器
13,藏品类型,瓷器
14,藏品类型,瓷器
15,藏品类型,瓷器
16,藏品类型,瓷器
17,藏品类型,漆器
18,藏品类型,瓷器
19,藏品类型,瓷器
20,藏品类型,瓷器
21,藏品类型,铜器
22,藏品类型,铜器
23,藏品类型,铜器
24,藏品类型,铜器
25,藏品类型,铜器
26,藏品类型,铜器
27,藏品类型,铜器
28,藏品类型,铜器
29,藏品类型,铜器
30,藏品类型,铜器
31,藏品类型,铜器
32,藏品类型,铜器
33,藏品类型,瓷器
34,藏品类型,书法、绘画
35,藏品类型,竹木雕
36,藏品类型,书法、绘画
37,藏品类型,书法、绘画
38,藏品类型,书法、绘画
39,藏品类型,书法、绘画
40,藏品类型,书法、绘画
41,藏品类型,书法、绘画
42,藏品类型,书法、绘画
43,藏品类型,竹木雕
44,藏品类型,书法、绘画
45,藏品类型,书法、绘画
46,藏品类型,书法、绘画
47,藏品类型,书法、绘画
48,藏品类型,书法、绘画
49,藏品类型,竹木雕
50,藏品类型,书法、绘画
51,藏品类型,书法、绘画
52,藏品类型,书法、绘画
53,藏品类型,书法、绘画
54,藏品类型,书法、绘画
55,藏品类型,竹木雕
56,藏品类型,书法、绘画
57,藏品类型,书法、绘画
58,藏品类型,书法、绘画
59,藏品类型,书法、绘画
60,藏品类型,书法、绘画
61,藏品类型,竹木雕
62,藏品类型,书法、绘画
63,藏品类型,书法、绘画
64,藏品类型,书法、绘画
65,藏品类型,竹木雕
66,藏品类型,书法、绘画
67,藏品类型,书法、绘画
68,藏品类型,竹木雕
69,藏品类型,书法、绘画
70,藏品类型,书法、绘画
71,藏品类型,书法、绘画
72,藏品类型,书法、绘画
73,藏品类型,书法、绘画
74,藏品类型,书法、绘画
75,藏品类型,书法、绘画
76,藏品类型,书法、绘画
77,藏品类型,书法、绘画
78,藏品类型,书法、绘画
79,藏品类型,书法、绘画
80,藏品类型,书法、绘画
81,藏品类型,书法、绘画
82,藏品类型,书法、绘画
83,藏品类型,书法、绘画
84,藏品类型,书法、绘画
85,藏品类型,书法、绘画
86,藏品类型,书法、绘画
87,藏品类型,名人遗物
88,藏品类型,书法、绘画
89,藏品类型,书法、绘画
90,藏品类型,书法、绘画
91,藏品类型,书法、绘画
92,藏品类型,书法、绘画
93,藏品类型,书法、绘画
94,藏品类型,书法、绘画
95,藏品类型,书法、绘画
96,藏品类型,书法、绘画
97,藏品类型,书法、绘画
98,藏品类型,书法、绘画
99,藏品类型,书法、绘画
100,藏品类型,书法、绘画
101,藏品类型,书法、绘画
102,藏品类型,书法、绘画
103,藏品类型,书法、绘画
104,藏品类型,书法、绘画
105,藏品类型,书法、绘画
106,藏品类型,书法、绘画
107,藏品类型,书法、绘画
108,藏品类型,书法、绘画
109,藏品类型,书法、绘画
110,藏品类型,书法、绘画
111,藏品类型,书法、绘画
112,藏品类型,书法、绘画
113,藏品类型,书法、绘画
114,藏品类型,书法、绘画
115,藏品类型,书法、绘画
116,藏品类型,书法、绘画
117,藏品类型,书法、绘画
118,藏品类型,书法、绘画
119,藏品类型,书法、绘画
120,藏品类型,书法、绘画
121,藏品类型,书法、绘画
122,藏品类型,书法、绘画
123,藏品类型,书法、绘画
124,藏品类型,书法、绘画
125,藏品类型,书法、绘画
126,藏品类型,书法、绘画
127,藏品类型,书法、绘画
128,藏品类型,书法、绘画
129,藏品类型,书法、绘画
130,藏品类型,文具
131,藏品类型,书法、绘画
132,藏品类型,书法、绘画
133,藏品类型,书法、绘画
134,藏品类型,书法、绘画
135,藏品类型,珐琅器
136,藏品类型,书法、绘画
137,藏品类型,雕塑、造像
138,藏品类型,书法、绘画
139,藏品类型,书法、绘画
140,藏品类型,书法、绘画
141,藏品类型,书法、绘画
142,藏品类型,书法、绘画
143,藏品类型,珐琅器
144,藏品类型,书法、绘画
145,藏品类型,雕塑、造像
146,藏品类型,其他
147,藏品类型,书法、绘画
148,藏品类型,书法、绘画
149,藏品类型,书法、绘画
150,藏品类型,书法、绘画
151,藏品类型,书法、绘画
152,藏品类型,雕塑、造像
153,藏品类型,其他
154,藏品类型,书法、绘画
155,藏品类型,书法、绘画
156,藏品类型,书法、绘画
157,藏品类型,书法、绘画
158,藏品类型,书法、绘画
159,藏品类型,雕塑、造像
160,藏品类型,乐器、法器
161,藏品类型,书法、绘画
162,藏品类型,书法、绘画
163,藏品类型,书法、绘画
164,藏品类型,漆器
165,藏品类型,织绣
166,藏品类型,书法、绘画
167,藏品类型,书法、绘画
168,藏品类型,书法、绘画
169,藏品类型,书法、绘画
170,藏品类型,漆器
171,藏品类型,织绣
172,藏品类型,书法、绘画
173,藏品类型,书法、绘画
174,藏品类型,书法、绘画
175,藏品类型,书法、绘画
176,藏品类型,书法、绘画
177,藏品类型,书法、绘画
178,藏品类型,漆器
179,藏品类型,度量衡器
180,藏品类型,书法、绘画
181,藏品类型,书法、绘画
182,藏品类型,书法、绘画
183,藏品类型,漆器
184,藏品类型,武器
185,藏品类型,其他
186,藏品类型,书法、绘画
187,藏品类型,书法、绘画
188,藏品类型,书法、绘画
189,藏品类型,书法、绘画
190,藏品类型,漆器
191,藏品类型,其他
192,藏品类型,陶器
193,藏品类型,书法、绘画
194,藏品类型,书法、绘画
195,藏品类型,书法、绘画
196,藏品类型,漆器
197,藏品类型,其他
198,藏品类型,度量衡器
199,藏品类型,书法、绘画
200,藏品类型,书法、绘画
201,藏品类型,书法、绘画
202,藏品类型,书法、绘画
203,藏品类型,漆器
204,藏品类型,其他
205,藏品类型,铁器、其他金属器
206,藏品类型,书法、绘画
207,藏品类型,书法、绘画
