collectID,relationship,collectYear
1,藏品年代,"中国历史学年代,辽(907~1125)"
2,藏品年代,"中国历史学年代,辽(907~1125)"
3,藏品年代,"中国历史学年代,辽(907~1125)"
4,藏品年代,"中国历史学年代,辽(907~1125)"
5,藏品年代,"中国历史学年代,辽(907~1125)"
6,藏品年代,"中国历史学年代,辽(907~1125)"
7,藏品年代,"中国历史学年代,辽(907~1125)"
8,藏品年代,"中国历史学年代,清(1616~1911)"
9,藏品年代,"中国历史学年代,元(1206~1368)"
10,藏品年代,"中国历史学年代,元(1206~1368)"
11,藏品年代,"中国历史学年代,元(1206~1368)"
12,藏品年代,"中国历史学年代,元(1206~1368)"
13,藏品年代,"中国历史学年代,元(1206~1368)"
14,藏品年代,"中国历史学年代,元(1206~1368)"
15,藏品年代,"中国历史学年代,元(1206~1368)"
16,藏品年代,"中国历史学年代,元(1206~1368)"
17,藏品年代,"中国历史学年代,清(1616~1911)"
18,藏品年代,"中国历史学年代,清(1616~1911)"
19,藏品年代,"中国历史学年代,清(1616~1911)"
20,藏品年代,"中国历史学年代,宋"
21,藏品年代,"中国历史学年代,商(前1600~前1046)"
22,藏品年代,"中国历史学年代,周,西周(前1046~前771)"
23,藏品年代,"中国历史学年代,周,西周(前1046~前771)"
24,藏品年代,"中国历史学年代,周,西周(前1046~前771)"
25,藏品年代,"中国历史学年代,周,西周(前1046~前771)"
26,藏品年代,"中国历史学年代,周,西周(前1046~前771)"
27,藏品年代,"中国历史学年代,周,西周(前1046~前771)"
28,藏品年代,"中国历史学年代,周,西周(前1046~前771)"
29,藏品年代,"中国历史学年代,宋,北宋(960~1127)"
30,藏品年代,"中国历史学年代,商(前1600~前1046)"
31,藏品年代,"中国历史学年代,商(前1600~前1046)"
32,藏品年代,"中国历史学年代,商(前1600~前1046)"
33,藏品年代,"中国历史学年代,清(1616~1911)"
34,藏品年代,中华人民共和国
35,藏品年代,中华人民共和国
36,藏品年代,中华人民共和国
37,藏品年代,中华人民共和国
38,藏品年代,中华人民共和国
39,藏品年代,中华人民共和国
40,藏品年代,中华人民共和国
41,藏品年代,中华人民共和国
42,藏品年代,中华人民共和国
43,藏品年代,中华人民共和国
44,藏品年代,中华人民共和国
45,藏品年代,中华人民共和国
46,藏品年代,中华人民共和国
47,藏品年代,中华人民共和国
48,藏品年代,中华人民共和国
49,藏品年代,中华人民共和国
50,藏品年代,中华人民共和国
51,藏品年代,中华人民共和国
52,藏品年代,中华人民共和国
53,藏品年代,中华人民共和国
54,藏品年代,中华人民共和国
55,藏品年代,中华人民共和国
56,藏品年代,中华人民共和国
57,藏品年代,中华人民共和国
58,藏品年代,中华人民共和国
59,藏品年代,中华人民共和国
60,藏品年代,中华人民共和国
61,藏品年代,中华人民共和国
62,藏品年代,中华人民共和国
63,藏品年代,中华人民共和国
64,藏品年代,中华人民共和国
65,藏品年代,中华人民共和国
66,藏品年代,中华人民共和国
67,藏品年代,中华人民共和国
68,藏品年代,中华人民共和国
69,藏品年代,中华人民共和国
70,藏品年代,中华人民共和国
71,藏品年代,中华人民共和国
72,藏品年代,中华人民共和国
73,藏品年代,中华人民共和国
74,藏品年代,中华人民共和国
75,藏品年代,中华人民共和国
76,藏品年代,中华人民共和国
77,藏品年代,中华人民共和国
78,藏品年代,中华人民共和国
79,藏品年代,中华人民共和国
80,藏品年代,中华人民共和国
81,藏品年代,中华人民共和国
82,藏品年代,中华人民共和国
83,藏品年代,中华人民共和国
84,藏品年代,中华人民共和国
85,藏品年代,中华人民共和国
86,藏品年代,中华人民共和国
87,藏品年代,中华人民共和国
88,藏品年代,中华人民共和国
89,藏品年代,中华人民共和国
90,藏品年代,中华人民共和国
91,藏品年代,中华人民共和国
92,藏品年代,中华人民共和国
93,藏品年代,中华人民共和国
94,藏品年代,中华人民共和国
95,藏品年代,中华人民共和国
96,藏品年代,中华人民共和国
97,藏品年代,中华人民共和国
98,藏品年代,中华人民共和国
99,藏品年代,中华人民共和国
100,藏品年代,中华人民共和国
101,藏品年代,中华人民共和国
102,藏品年代,中华人民共和国
103,藏品年代,中华人民共和国
104,藏品年代,中华人民共和国
105,藏品年代,中华人民共和国
106,藏品年代,中华人民共和国
107,藏品年代,中华人民共和国
108,藏品年代,中华人民共和国
109,藏品年代,中华人民共和国
110,藏品年代,中华人民共和国
111,藏品年代,中华人民共和国
112,藏品年代,中华人民共和国
113,藏品年代,中华人民共和国
114,藏品年代,中华人民共和国
115,藏品年代,中华人民共和国
116,藏品年代,中华人民共和国
117,藏品年代,中华人民共和国
118,藏品年代,中华人民共和国
119,藏品年代,中华人民共和国
120,藏品年代,中华人民共和国
121,藏品年代,中华人民共和国
122,藏品年代,中华人民共和国
123,藏品年代,中华人民共和国
124,藏品年代,中华人民共和国
125,藏品年代,中华人民共和国
126,藏品年代,中华人民共和国
127,藏品年代,中华人民共和国
128,藏品年代,中华人民共和国
129,藏品年代,中华人民共和国
130,藏品年代,中华人民共和国
131,藏品年代,中华人民共和国
132,藏品年代,中华人民共和国
133,藏品年代,中华人民共和国
134,藏品年代,中华人民共和国
135,藏品年代,中华人民共和国
136,藏品年代,中华人民共和国
137,藏品年代,中华人民共和国
138,藏品年代,中华人民共和国
139,藏品年代,中华人民共和国
140,藏品年代,中华人民共和国
141,藏品年代,中华人民共和国
142,藏品年代,中华人民共和国
143,藏品年代,中华人民共和国
144,藏品年代,中华人民共和国
145,藏品年代,中华人民共和国
146,藏品年代,中华人民共和国
147,藏品年代,中华人民共和国
148,藏品年代,中华人民共和国
149,藏品年代,中华人民共和国
150,藏品年代,中华人民共和国
151,藏品年代,中华人民共和国
152,藏品年代,中华人民共和国
153,藏品年代,中华人民共和国
154,藏品年代,中华人民共和国
155,藏品年代,中华人民共和国
156,藏品年代,中华人民共和国
157,藏品年代,中华人民共和国
158,藏品年代,中华人民共和国
159,藏品年代,中华人民共和国
160,藏品年代,中华人民共和国
161,藏品年代,中华人民共和国
162,藏品年代,中华人民共和国
163,藏品年代,中华人民共和国
164,藏品年代,中华人民共和国
165,藏品年代,中华人民共和国
166,藏品年代,中华人民共和国
167,藏品年代,中华人民共和国
168,藏品年代,中华人民共和国
169,藏品年代,中华人民共和国
170,藏品年代,中华人民共和国
171,藏品年代,中华人民共和国
172,藏品年代,中华人民共和国
173,藏品年代,中华人民共和国
174,藏品年代,中华人民共和国
175,藏品年代,中华人民共和国
176,藏品年代,中华人民共和国
177,藏品年代,中华人民共和国
178,藏品年代,中华人民共和国
179,藏品年代,中华人民共和国
180,藏品年代,中华人民共和国
181,藏品年代,中华人民共和国
182,藏品年代,中华人民共和国
183,藏品年代,中华人民共和国
184,藏品年代,中华人民共和国
185,藏品年代,中华人民共和国
186,藏品年代,中华人民共和国
187,藏品年代,中华人民共和国
188,藏品年代,中华人民共和国
189,藏品年代,中华人民共和国
190,藏品年代,中华人民共和国
191,藏品年代,中华人民共和国
192,藏品年代,中华人民共和国
193,藏品年代,中华人民共和国
194,藏品年代,中华人民共和国
195,藏品年代,中华人民共和国
196,藏品年代,中华人民共和国
197,藏品年代,中华人民共和国
198,藏品年代,中华人民共和国
199,藏品年代,中华人民共和国
200,藏品年代,中华人民共和国
201,藏品年代,中华人民共和国
202,藏品年代,中华人民共和国
203,藏品年代,中华人民共和国
204,藏品年代,中华人民共和国
205,藏品年代,中华人民共和国
206,藏品年代,中华人民共和国
207,藏品年代,中华人民共和国
208,藏品年代,中华人民共和国
209,藏品年代,中华人民共和国
210,藏品年代,中华人民共和国
211,藏品年代,中华人民共和国
212,藏品年代,中华人民共和国
213,藏品年代,中华人民共和国
214,藏品年代,中华人民共和国
215,藏品年代,中华人民共和国
216,藏品年代,中华人民共和国
217,藏品年代,中华人民共和国
218,藏品年代,中华人民共和国
219,藏品年代,中华人民共和国
220,藏品年代,中华人民共和国
221,藏品年代,中华人民共和国
222,藏品年代,中华人民共和国
223,藏品年代,中华人民共和国
224,藏品年代,中华人民共和国
225,藏品年代,中华人民共和国
226,藏品年代,中华人民共和国
227,藏品年代,中华人民共和国
228,藏品年代,中华人民共和国
229,藏品年代,中华人民共和国
230,藏品年代,中华人民共和国
231,藏品年代,中华人民共和国
232,藏品年代,中华人民共和国
233,藏品年代,中华人民共和国
234,藏品年代,中华人民共和国
235,藏品年代,中华人民共和国
236,藏品年代,中华人民共和国
237,藏品年代,中华人民共和国
238,藏品年代,中华人民共和国
239,藏品年代,中华人民共和国
240,藏品年代,中华人民共和国
241,藏品年代,中华人民共和国
242,藏品年代,中华人民共和国
243,藏品年代,中华人民共和国
244,藏品年代,中华人民共和国
245,藏品年代,中华人民共和国
246,藏品年代,中华人民共和国
247,藏品年代,中华人民共和国
248,藏品年代,中华人民共和国
249,藏品年代,中华人民共和国
250,藏品年代,中华人民共和国
251,藏品年代,中华人民共和国
252,藏品年代,中华人民共和国
253,藏品年代,中华人民共和国
254,藏品年代,中华人民共和国
255,藏品年代,中华人民共和国
256,藏品年代,中华人民共和国
257,藏品年代,中华人民共和国
258,藏品年代,中华人民共和国
259,藏品年代,中华人民共和国
260,藏品年代,中华人民共和国
261,藏品年代,中华人民共和国
262,藏品年代,中华人民共和国
263,藏品年代,中华人民共和国
264,藏品年代,中华人民共和国
265,藏品年代,中华人民共和国
266,藏品年代,中华人民共和国
267,藏品年代,中华人民共和国
268,藏品年代,中华人民共和国
269,藏品年代,中华人民共和国
270,藏品年代,中华人民共和国
271,藏品年代,中华人民共和国
272,藏品年代,中华人民共和国
273,藏品年代,中华人民共和国
274,藏品年代,中华人民共和国
275,藏品年代,中华人民共和国
276,藏品年代,中华人民共和国
277,藏品年代,中华人民共和国
278,藏品年代,中华人民共和国
279,藏品年代,中华人民共和国
280,藏品年代,中华人民共和国
281,藏品年代,中华人民共和国
282,藏品年代,中华人民共和国
283,藏品年代,中华人民共和国
284,藏品年代,中华人民共和国
285,藏品年代,中华人民共和国
286,藏品年代,中华人民共和国
287,藏品年代,中华人民共和国
288,藏品年代,中华人民共和国
289,藏品年代,中华人民共和国
290,藏品年代,中华人民共和国
291,藏品年代,中华人民共和国
292,藏品年代,中华人民共和国
293,藏品年代,中华人民共和国
294,藏品年代,中华人民共和国
295,藏品年代,中华人民共和国
296,藏品年代,中华人民共和国
297,藏品年代,中华人民共和国
298,藏品年代,中华人民共和国
299,藏品年代,中华人民共和国
300,藏品年代,中华人民共和国
301,藏品年代,中华人民共和国
302,藏品年代,中华人民共和国
303,藏品年代,中华人民共和国
304,藏品年代,中华人民共和国
305,藏品年代,中华人民共和国
306,藏品年代,中华人民共和国
307,藏品年代,中华人民共和国
308,藏品年代,中华人民共和国
309,藏品年代,中华人民共和国
310,藏品年代,中华人民共和国
311,藏品年代,中华人民共和国
312,藏品年代,中华人民共和国
313,藏品年代,中华人民共和国
314,藏品年代,中华人民共和国
315,藏品年代,中华人民共和国
316,藏品年代,中华人民共和国
317,藏品年代,中华人民共和国
318,藏品年代,中华人民共和国
319,藏品年代,中华人民共和国
320,藏品年代,中华人民共和国
321,藏品年代,中华人民共和国
322,藏品年代,中华人民共和国
323,藏品年代,中华人民共和国
324,藏品年代,中华人民共和国
325,藏品年代,中华人民共和国
326,藏品年代,中华人民共和国
327,藏品年代,中华人民共和国
328,藏品年代,中华人民共和国
329,藏品年代,中华人民共和国
330,藏品年代,中华人民共和国
331,藏品年代,中华人民共和国
332,藏品年代,中华人民共和国
333,藏品年代,中华人民共和国
334,藏品年代,中华人民共和国
335,藏品年代,中华人民共和国
336,藏品年代,中华人民共和国
337,藏品年代,中华人民共和国
338,藏品年代,中华人民共和国
339,藏品年代,中华人民共和国
340,藏品年代,中华人民共和国
341,藏品年代,中华人民共和国
342,藏品年代,中华人民共和国
