collectId,collectName,collectYear,collectType,collectLevel,collectTexture,detailSize,num,source,seq
13312,现代齐白石灯鼠立轴,中华人民共和国(1949年10月1日成立),书法、绘画,二级,纸,纵99.6 横34.5,1,征集购买,1949
14848,现代反黄彫番莲五角立筋盖盒,中华人民共和国(1949年10月1日成立),竹木雕,二级,木,高6.2 口径13 底径15.7,1,征集购买,1949
15616,现代王雪涛花三鸡图轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵127.7横69.3,1,征集购买,1949
16128,现代钱君匋行书七绝诗轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵133横32,1,征集购买,1949
19968,现代许滌新书毛泽东诗轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵13蛾，横57。,1,接受捐赠,1949
20480,现代陆俨少水墨山水轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵68.3横45.9,1,征集购买,1949
22272,现代冕少翔双寿图轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵113.9  横49.2,1,接受捐赠,1949
23296,现代陈半丁行书毛泽东“冬雪”轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵104.5横34.5,1,征集购买,1949
7681,现代罗惇曧行书联,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵132.5 横32.2,2,旧藏,1949
14849,现代立筋方盖盒,中华人民共和国(1949年10月1日成立),竹木雕,二级,木,高8.9 口径6.6 腹径7.8 底径6.5,1,征集购买,1949
16129,现代溥雪斋行书节月赋轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵132横33,1,征集购买,1949
19969,现代曹靖华书鲁迅诗轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵49.5，横31。,1,接受捐赠,1949
20481,现代陆俨少设色江寺图轴,中华人民共和国(1949年10月1日成立),书法、绘画,三级,纸,纵82.8横59.8,1,征集购买,1949
