Id,name,author,relicTime,imageUrl,description,realUrl
2003.127,Jar with Blue and White Decoration,Unknown,1368–1644,https://piction-web.eas.iu.edu/piction/ump.di?e=36619863BC7AA4EE012E269E1F701F4FC27510B26C93BD823E6DA80E88546362&s=21&se=1748063691&v=1&f=xx2003.127_o4.jpg,"Gift from the Collection of Lena J. Stewart, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2003.127
2006.515,Chinese Plate,,19th century,,"Gift of Esther Ritz Collyer, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.515
2006.812,Jar with Cloud Scroll Designs,Unknown,206 BCE–8 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=A012EC9C26FEC4698CB38043BBB0C110C521C67AFA6620D5366D61B8E193F628&s=21&se=1748063691&v=1&f=xx2006.812_o4.jpg,"Gift of Margaret and Michael Chung in memory of Father Harrie Vanderstappen, SVD, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.812
2006.817,Globular Jar,Unknown,2650–2350 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=A5F4CF8420B67FF71D006FAFF3D7B359530596F556EB6FED5BEDA84A32938CE0&s=21&se=1748063691&v=1&f=xx2006.817_o4.jpg,"Gift of Margaret and Michael Chung, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.817
2006.819,Standing Figure of an Attendant,,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=D75E4382B118BDDFB053D6179F6E2A07FC5AF459A81A2AAB13A15D55CB8679A5&s=21&se=1748063691&v=1&f=xx2006.819_o4.jpg,"Gift of Margaret and Michael Chung, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.819
2006.820,Building,,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=D75E4382B118BDDF75991A66CDD4328A9732076BAB24B2784B34D5992D8E4230&s=21&se=1748063691&v=1&f=xx2006.820_o4.jpg,"Gift of Margaret and Michael Chung, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.820
2006.823,Kneeling Camel,Unknown,618–907,https://piction-web.eas.iu.edu/piction/ump.di?e=A5F4CF8420B67FF70172A7DB2889D92FA0C3FB9B3B94E40B87F8867FAA046B35&s=21&se=1748063691&v=1&f=xx2006.823_o4.jpg,"Gift of Margaret and Michael Chung, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.823
2006.824,Black Glazed Stoneware Jar,,11th–13th century,,"Gift of Margaret and Michael Chung, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.824
2006.825,Musician on a horse,,618–907,https://piction-web.eas.iu.edu/piction/ump.di?e=9EA3AB888394B03E619D623713256E2E92B0581C4FBE9BE7C1391BC6EEF7F20A&s=21&se=1748063691&v=1&f=xx2006.825_o4.jpg,"Gift of Margaret and Michael Chung, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.825
2006.826,Earth Spirit,,8th century,https://piction-web.eas.iu.edu/piction/ump.di?e=65EE54B0BD83BD1E5DFD484C92EF7C43039FA233E4A50BB50572C4D6A45406E6&s=21&se=1748063691&v=1&f=xx2006.826_o4.jpg,"Gift of Margaret and Michael Chung, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.826
