Id,name,author,relicTime,imageUrl,description,realUrl
2000.342.103,Coin: Sestertius with Head of Antoninus Pius (obv) and Pax (rev),,145–161,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.103
2000.156,Bowl with Dog,"Dirk Hubers (Dutch, 1913–2003)",Ca. 1955,,"Bernhard and Cola Heiden Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.156
2000.149,Study for [Cemetery View],"Ronald Markman (American, 1931–2017)",1965,,"Bernhard and Cola Heiden Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.149
2000.158,Dancer I,"Jean-Paul Darriau (American, 1929 - 2006)",1960,,"Bernhard and Cola Heiden Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.158
2000.342.111,Coin: Sestertius with Bust of Otacilia Severa (obv) and Pudicitia (rev),,244–249,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.111
2000.133,African Bishop,"Adebisi Fabunmi (Nigerian | Yoruba, 1945 -)",20th century,,"Gift of Bernard W. Riley &amp; Dr. David Brokensha in Memory of Professor Alan Merrimam and in Honor of Professor Roy Sieber, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.133
00.10,L'Imperatore,"Rudy O. Pozzatti (American, 1925–2021)",1959,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=00.10
2000.342.17,Coin: As with Head of Janus (obv) and Prow of Ship ((rev),,Ca. 151 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.17
2000.342.1,Coin: As with Janus Head (obv); and Prow of Ship (rev),,211–200 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.1
2000.342.31,Coin: Denarius with Heads of Discouri (obv) and Ship (rev),,Ca. 108 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.31
2000.146,Red Plain,"Rudy O. Pozzatti (American, 1925–2021)",1955,,"Bernhard and Cola Heiden Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.146
2000.342.115,Coin:  AE2 Follis with Head of Decentius (obv) and Two Victories (rev),,350–353,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.115
2000.342.32,Coin: Denarius with Head of Jupiter (obv) and Jupiter in chariot (rev),,Ca. 106 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.32
2000.208,Sonoma,"Fred Martin (American, born 1927)",1967,,"Gift of Goodman-Duffy Partnership, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.208
2000.238,Marine View,"Rudy O. Pozzatti (American, 1925–2021)",1962,,"Bernhard and Cola Heiden Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.238
00.7,"Charles Baudelaire, full face","Edouard Manet (French, 1832–1883)",1865,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=00.7
2000.342.2,Coin: (Quadrans with Head of Hercules (obv)  and Prow of Ship (rev.),,211–195 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.2
2000.342.10,Coin: Denarius with the Head of Roma (obv) and Dioscuri (rev),,209–208 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.10
2000.342.28,Coin: Denarius with Head of Roma (obv) and Ship (rev),,Ca. 109-108 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.28
2000.342.117,Coin:  AE2 Follis with Bust of Constantius Gallus (obv) and Battle Scene (rev),,351–354,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.117
2000.342.104,Coin: Denarius with Head of Caracalla (obv) and Liberalitas (rev),,210–213,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.104
2000.342.102,Coin: Sestertius with Bust of Julia Domna (obv) and  Vesta (rev),,196–211,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.102
2000.342.15,Coin: As with Head of Janus (obv) and Prow of Ship (rev),,169–158 BCE,,"Transfer from the Classical Studies Department, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.342.15
2000.178,Tall Teapot,"Tim Mather (American, b. 1943)",1981,,"Gift of Dr. Steven Conant, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2000.178
